ORISPL,Name,Operator,County,SO2,SO2 rank,NOx,NOx rank,CO2,CO2 rank,Heat Input,Gross Load,Location
6190,Brame Energy Center,Cleco Power LLC,Rapides,5699.669,86,2833.481,124,6745570.207,74,64172726.087,6088958.03,"LA
(31.395, -92.7167)"
6193,Harrington Station,Southwestern Public Service Company,Potter,14254.207,25,4027.048,92,5846584.781,92,55823183.851,5450798.83,"TX
(35.2972, -101.7475)"
6194,Tolk Station,Southwestern Public Service Company,Lamb,14976.952,21,4000.844,93,5985993.457,91,57112324.275,6021970.32,"TX
(34.1847, -102.5686)"
6195,John Twitty Energy Center,"City of Springfield, MO",Greene,3315.362,125,809.764,248,2318516.57,188,22279631.486,2318532.66,"MO
(37.1519, -93.3892)"
6204,Laramie River,Basin Electric Power Cooperative,Platte,6045.105,78,9113.205,28,12615332.141,18,120283545.463,11096291.92,"WY
(42.1103, -104.8828)"
6213,Merom,"Hoosier Energy REC, Inc.",Sullivan,3143.809,130,1942.712,154,6636020.769,80,64678582.716,6567114.53,"IN
(39.0694, -87.5108)"
6248,Pawnee,Public Service Company of Colorado,Morgan,1493.68,195,840.009,244,3402982.267,148,32456223.927,2933263.02,"CO
(40.2217, -103.6803)"
6249,Winyah,Santee Cooper,Georgetown,692.913,255,1082.033,218,2698970.225,168,26305763.235,2548443.4,"SC
(33.3303, -79.3611)"
6250,Mayo,"Duke Energy Progress, LLC",Person,2736.922,142,1561.011,179,2342843.741,186,22860236.228,,"NC
(36.5278, -78.8917)"
6254,Ottumwa,Interstate Power & Light Company,Wapello,1013.449,225,2850.927,123,4491572.598,122,42830701.864,3985103.09,"IA
(41.0961, -92.5556)"
6257,Scherer,Georgia Power Company,Monroe,1984.524,175,12747.396,8,19310777.1,2,184122578.425,18022292.5,"GA
(33.0583, -83.8072)"
6264,Mountaineer (1301),Appalachian Power Company,Mason,5246.461,89,3935.837,95,8210849.919,59,80027774.066,8501569.61,"WV
(38.9794, -81.9344)"
6469,Antelope Valley,Basin Electric Power Cooperative,Mercer,12343.291,31,5041.028,75,7247364.922,68,66568939.729,6343836.5,"ND
(47.3714, -101.8344)"
6481,Intermountain,Intermountain Power Service Corporation,Millard,2784.913,141,10396.829,18,8528842.75,51,83127108.325,9040453.75,"UT
(39.5035, -112.5811)"
6639,R D Green,Big Rivers Electric Corporation,Webster,2681.535,147,3715.352,102,3257883.325,150,31753310.2,3053462.5,"KY
(37.6467, -87.5006)"
6641,Independence,Entergy Corporation,Independence,22569.595,9,9863.663,20,8235042.718,57,78529098.774,8140764.3,"AR
(35.6733, -91.4083)"
6648,Sandow,Luminant Generation Company LLC,Milam,12105.279,32,1381.335,192,4686780.766,119,43049335.55,4383003.67,"TX
(30.5642, -97.0639)"
6664,Louisa,MidAmerican Energy Company,Louisa,5129.256,90,3114.558,115,3673646.946,138,35027181.415,3657998.93,"IA
(41.3153, -91.0936)"
6705,Alcoa Allowance Management Inc,"Alcoa Allowance Management, Inc.",Warrick,3542.001,121,6837.264,48,4454576.573,124,43417011.83,3908552.75,"IN
(37.915, -87.3328)"
6761,Rawhide Energy Station,Platte River Power Authority,Larimer,878.562,240,1306.522,200,2315026.651,189,22073151.148,2425694.25,"CO
(40.8611, -105.0206)"
6768,Sikeston,Sikeston Bd. of Municipal Utilities,Scott,4837.002,96,940.279,230,1713752.156,208,16703214.749,1688175.79,"MO
(36.8791, -89.6209)"
6772,Hugo,"Western Farmers Electric Cooperative, Inc.",Choctaw,7275.465,70,2301.107,137,2500353.966,176,24378853.411,2215205.15,"OK
(34.0158, -95.3206)"
6823,D B Wilson,Big Rivers Electric Corporation,Ohio,6934.158,72,1151.95,211,3718292.925,136,36240652.35,3322519.5,"KY
(37.4497, -87.0803)"
7030,Twin Oaks,NAES Corporation,Robertson,3186.488,128,1379.612,193,3169214.365,152,29110012.838,2802352.43,"TX
(31.0932, -96.6965)"
7097,J K Spruce,City of San Antonio,Bexar,617.619,257,2819.387,125,6070044.3,88,59162268.7,5749171,"TX
(29.3091, -98.3205)"
7210,Cope Station,South Carolina Electric & Gas Company,Orangeburg,935.287,229,1146.744,212,1763533.588,206,17195761.255,2104207.3,"SC
(33.3642, -81.03)"
7213,Clover Power Station,Dominion Generation,Halifax,1580.005,192,8307.288,33,6006975.269,89,58547473.363,5863265,"VA
(36.8692, -78.7046)"
7343,George Neal South,MidAmerican Energy Company,Woodbury,4887.489,94,2737.08,127,2895516.75,163,27607864.625,2995556.5,"IA
(42.3022, -96.3622)"
7504,Neil Simpson II,"Black Hills Power, Inc",Campbell,386.464,274,552.704,284,836247.152,251,7973400.589,663086.93,"WY
(44.2853, -105.3841)"
7737,"KapStone Charleston Kraft, LLC",KapStone Charleston Kraft LLC,Charleston,,,564.899,281,,,4202539.383,,"SC
(32.8994, -79.9694)"
7790,Bonanza,Deseret Generation & Transmission,Uintah,1305.028,208,5574.344,65,3592216.5,141,35011864.075,3258714.5,"UT
(40.0864, -109.2844)"
7902,H W Pirkey Power Plant,Southwestern Electric Power Company,Harrison,4440.979,102,4213.993,89,5675815.899,97,52133913.268,5423476.11,"TX
(32.4607, -94.4852)"
8023,Columbia,Wisconsin Power & Light Company,Columbia,1393.247,204,3480.674,107,5996765.879,90,57189465.555,5397837.86,"WI
(43.4864, -89.4203)"
8042,Belews Creek,"Duke Energy Carolinas, LLC",Stokes,5066.415,91,6772.22,49,10446839.894,32,101821064.042,11423440.99,"NC
(36.2811, -80.0603)"
8066,Jim Bridger,Pacificorp Energy Generation,Sweetwater,9226.552,46,9343.924,26,12833720.559,17,122366505.989,12559353.93,"WY
(41.7378, -108.7875)"
8069,Huntington,Pacificorp Energy Generation,Emery,2364.336,161,6210.166,55,5718453.624,96,55735500.108,5972516.81,"UT
(39.3792, -111.0781)"
8102,Gen J M Gavin,"AEP Generation Resources, Inc.",Gallia,20029.011,14,7328.886,39,14528134.978,9,141599821.916,15073079.31,"OH
(38.9347, -82.1158)"
8219,Ray D Nixon,Colorado Springs Utilities,El Paso,2982.958,133,1400.325,189,1405587.131,220,13407175.058,1312755.38,"CO
(38.6306, -104.7056)"
8222,Coyote,Otter Tail Power Company,Mercer,11872.863,34,7771.838,36,2950668.065,161,27102661.739,2586763.02,"ND
(47.2217, -101.8139)"
8223,Springerville Generating Station,Tucson Electric Power Company,Apache,6340.543,76,5954.538,60,9902829.215,35,94449694.608,10190511.65,"AZ
(34.3186, -109.1636)"
8224,North Valmy,Sierra Pacific Power Company,Humboldt,2279.206,164,1635.624,173,1088269.674,236,10376330.321,1093401.29,"NV
(40.8831, -117.1542)"
8226,Cheswick,NRG Power Midwest LP,Allegheny,2090.556,173,4220.672,88,2195864.95,192,21475812.962,2151582.43,"PA
(40.5383, -79.7906)"
10017,RockTenn West Point Mill,RockTenn,King William,,,123.214,347,,,1820920.866,,"VA
(37.5392, -76.8053)"
10025,"RED-Rochester, LLC-Eastman Business Park","RED-Rochester, LLC",Monroe,,,1918.206,155,,,8519040.278,,"NY
(43.1969, -77.6289)"
10043,Logan Generating Plant,NAES Corporation,Gloucester,548.501,262,410.203,302,765774.119,256,7482619.191,,"NJ
(39.7914, -75.4081)"
10071,Virginia Renewable Power-Portsmouth LLC,Cogentrix Virginia Leasing Corporation,Portsmouth (City),,,,,,,,,"VA
(36.8703, -76.3519)"
10075,Taconite Harbor Energy Center,"Minnesota Power, Inc.",Cook,932.033,230,406.017,303,698212.555,259,6657278.612,562153.57,"MN
(47.5314, -90.9111)"
10113,Gilberton Power Company,Gilberton Power Company,Schuylkill,728.316,253,274.896,317,1060581.864,237,8253397.748,,"PA
(40.79, -76.1984)"
10143,Colver Power Project,A/C Power - Colver Operations,Cambria,2384.643,159,737.548,262,,,9312141.212,841412.72,"PA
(40.55, -78.8)"
10151,Grant Town Power Plant,Edison Mission Operation & Maintenance,Marion,2369.969,160,1456.737,186,1011409.187,240,9857787.347,,"WV
(39.5611, -80.1642)"
10244,P H Glatfelter Company - Chillicothe Fac,P H Glatfelter Company,Ross,,,1039.607,224,,,3883162.5,,"OH
(39.3265, -82.9744)"
10328,T B Simon Power Plant,Michigan State University,Ingham,,,436.925,298,,,3009523.076,,"MI
(42.7178, -84.4836)"
10343,Mt. Carmel Cogeneration,"Mt. Carmel Cogeneration, Inc.",Northumberland,470.294,267,182.933,331,570033.051,272,4841437.97,307452.45,"PA
(40.8092, -76.4539)"
10377,City Point Energy Center,James River Cogeneration Company,Hopewell (City),1648.493,186,955.327,229,477265.559,281,4651711.776,,"VA
(37.2939, -77.2697)"
10378,CPI USA North Carolina Southport,CPI USA North Carolina LLC,Brunswick,4608.372,98,928.657,234,,,8498096.665,,"NC
(33.9444, -78.0125)"
10379,CPI USA North Carolina Roxboro,CPI USA North Carolina LLC,Person,2315.287,163,441.428,297,,,4329922.596,,"NC
(36.435, -78.9619)"
10380,NC Renewable Power - Elizabethtown,North Carolina Renewable Power - Lumberton LLC,Bladen,,,,,,,,,"NC
(34.6474, -78.6407)"
10384,"Edgecombe Genco, LLC","Edgecombe Genco, LLC",Edgecombe,39.097,318,492.974,290,200050.719,309,1949860.424,,"NC
(36.0378, -77.7542)"
10398,ArcelorMittal Cleveland LLC,ArcelorMittal,Cuyahoga,,,,,,,,,"OH
(41.4739, -81.6728)"
10464,"Black River Generation, LLC","Black River Generation, LLC",Jefferson,6.697,328,401.25,304,615716.812,268,5735509.114,,"NY
(44.0361, -75.7712)"
10566,Carneys Point,NAES Corporation,Salem,931.442,231,692.324,264,1204736.6,230,11753378.075,,"NJ
(39.6928, -75.4867)"
10603,Ebensburg Power Company,"Power Systems Operations, Inc.",Cambria,895.431,237,161.921,338,362904.962,296,3199391.46,230297.34,"PA
(40.455, -78.7472)"
10641,Cambria Cogen,Cambria CoGen Company,Cambria,2537.592,152,1121.668,213,1026257.636,239,9340347.313,,"PA
(40.4748, -78.7021)"
10671,"AES Shady Point, LLC","AES Shady Point, LLC",Le Flore,,,759.166,259,,,23793869.802,,"OK
(35.1931, -94.6458)"
10672,Cedar Bay Generating Co. LP,Cedar Bay Operating Services LLC,Duval,92.712,313,115.457,349,156148.249,310,1531578.747,,"FL
(30.4219, -81.6079)"
10678,AES Warrior Run,AES Corporation,Allegany,890.794,238,356.67,311,1192906.456,231,11630593.181,982930.69,"MD
(39.5944, -78.7456)"
10743,Morgantown Energy Facility,Morgantown Energy Associates,Monongalia,1051.144,220,1091.212,216,,,6591686.93,,"WV
(39.6397, -79.9606)"
10849,Northshore Mining Silver Bay Power,Silver Bay Power Company,Lake,835.538,243,1086.865,217,,,4565788.665,353488.54,"MN
(47.286, -91.26)"
10865,Archer Daniels Midland Co.,Archer Daniels Midland Company,Macon,,,1783.792,164,,,9252018.81,,"IL
(39.8675, -88.885)"
10867,Tate & Lyle,Tate & Lyle Ingredients Americas LLC,Macon,,,258.138,320,,,5843090.764,,"IL
(39.8466, -88.9261)"
50030,Nelson Industrial Steam Company,Entergy Corporation,Calcasieu,,,1379.239,194,,,19558039.58,,"LA
(30.2861, -93.2917)"
50039,Northeastern Power Company,Nepco Services Company,Schuylkill,195.052,300,69.55,355,260288.221,304,2227560.613,165817.75,"PA
(40.8737, -75.9936)"
50240,Purdue University-Wade Utility,Purdue University,Tippecanoe,,,120.473,348,,,1211084.825,,"IN
(40.4172, -86.9117)"
50254,KapStone Paper and Packaging Corp,KapStone Paper and Packaging Corp,Halifax,,,384.897,306,,,1299146.046,,"NC
(36.4769, -77.6414)"
50282,Luke Paper Company,Luke Paper Company,Allegany,,,893.485,241,525532.861,277,,,"MD
(39.4722, -79.0575)"
50410,Kimberly-Clark Tissue Company,Kimberly-Clark Tissue Company,Delaware,,,174.698,336,,,4791450.075,,"PA
(39.8439, -75.3575)"
50481,Eastman Chemical Company,Eastman Chemical Company,Sullivan,,,2716.826,129,,,15423264.78,,"TN
(36.5192, -82.535)"
50491,Axiall Corporation Natrium Plant,Axiall Corporation,Marshall,,,1810.107,162,745317.875,257,10394222.825,,"WV
(39.7475, -80.8547)"
50611,"WPS Westwood Generation, LLC","Olympus Power Funding LLC, Olympus Power, LLC",Schuylkill,87.957,316,54.098,356,110638.891,316,942033.584,61364.34,"PA
(40.6191, -76.45)"
50776,Panther Creek Energy Facility,"Panther Creek Power Operating, LLC",Carbon,104.204,311,102.84,350,,,1693402.738,,"PA
(40.8556, -75.8781)"
50806,"WestRock CP, LLC Florence Mill","WestRock CP, LLC",Florence,,,661.592,266,,,3372058.494,,"SC
(34.1519, -79.5587)"
50835,TES Filer City Station,CMS Enterprises Co.,Manistee,360.041,277,1373.637,195,,,7130407.559,,"MI
(44.217, -86.2906)"
50879,Wheelabrator - Frackville,"Wheelabrator Frackville Energy Company, Inc.",Schuylkill,448.851,271,299.267,315,545002.329,274,4853372.464,,"PA
(40.7817, -76.1781)"
50888,Northampton Generating Plant,Northampton Generating Company,Northampton,173.596,302,142.078,341,379068.344,291,3192663.672,312794.83,"PA
(40.6917, -75.4792)"
50900,"MeadWestvaco of Virginia, Covington","MeadWestvaco of Virginia, Covington",Alleghany,,,1254.854,202,,,8175451.365,,"VA
(37.7997, -79.9946)"
50951,Sunnyside Cogeneration Associates,Sunnyside Cogeneration Associates,Carbon,,,,,,,,458044.79,"UT
(39.5472, -110.3917)"
50956,Resolute Forest Products - Calhoun Ops,"Bowater, Inc.",McMinn,,,41.659,357,,,383657.383,,"TN
(35.2964, -84.7569)"
50974,Scrubgrass Generating Plant,Scrubgrass Generating Company,Venango,1116.681,217,547.173,285,782628.465,254,7354190.416,,"PA
(41.2678, -79.8114)"
50976,"Indiantown Cogeneration, LP",Indiantown Cogeneration Limited Partnership,Martin,479.528,266,805.919,250,830493.288,252,8178343.236,,"FL
(27.0393, -80.5144)"
52007,Mecklenburg Power Station,Dominion Generation,Mecklenburg,198.913,299,593.652,277,420298.372,285,4096477.868,344244.2,"VA
(36.6009, -78.53)"
52071,Sandow Station,Luminant Generation Company LLC,Milam,2263.373,165,1510.995,182,4722065.139,117,43383792.575,4807115.65,"TX
(30.5681, -97.0614)"
52140,International Paper-Prattville Mill,International Paper Company,Autauga,,,920.72,235,,,4454485.556,,"AL
(32.4167, -86.4667)"
52151,International Paper-Eastover Mill,International Paper Company,Richland,,,169.096,337,,,785392.632,,"SC
(33.8872, -80.6397)"
54035,Westmoreland Partners Roanoke Valley I,Westmoreland Partners LLC,Halifax,22.19,321,92.972,352,63130.946,320,615309.945,,"NC
(36.4364, -77.6167)"
54081,"Spruance Genco, LLC",Spruance Genco LLC,Richmond (City),310.914,282,1319.107,198,940064.214,244,9162454.994,,"VA
(37.4556, -77.4308)"
54276,University of NC Chapel Hill,University of North Carolina at Chapel Hill,Orange,,,82.057,353,,,817649.8,,"NC
(35.9069, -79.0617)"
54304,Birchwood Power Facility,General Electric Company,King George,215.119,297,228.896,324,,,4816757.249,501383,"VA
(38.2667, -77.3147)"
54556,Ingredion Incorporated Argo Plant,Ingredion Incorporated,Cook,,,380.056,307,,,7152404.797,,"IL
(41.7775, -87.8233)"
54634,St. Nicholas Cogeneration Project,"Schuylkill Energy Resources, Inc.",Schuylkill,1230.092,212,212.711,326,1277540.311,227,10482137.646,,"PA
(40.8222, -76.1736)"
54638,"Domtar Paper Company, LLC","Domtar Paper Company, LLC",Elk,,,270.407,319,,,1240695.178,,"PA
(41.4908, -78.6767)"
54755,Westmoreland Partners Roanoke Valley II,Westmoreland Partners LLC,Halifax,7.407,326,8.679,362,10920.778,323,106446.94,,"NC
(36.4364, -77.6167)"
55076,Red Hills Generation Facility,"Choctaw Generation, LP",Choctaw,2799.379,139,1986.913,150,3574039.25,143,32942196.95,,"MS
(33.3761, -89.2183)"
55479,Wygen I,"Black Hills Power, Inc",Campbell,343.12,280,592.287,278,919488.452,245,8767065.189,788704.96,"WY
(44.2862, -105.3843)"
55749,Hardin Generating Station,"Colorado Energy Management, LLC",Big Horn,209.121,298,185.15,330,483941.378,280,4621073.17,392351.51,"MT
(45.7578, -107.6)"
55856,Prairie State Generating Station,Prairie State Generating Company LLC,Washington,8630.585,55,3547.349,104,11467828.908,26,111772257.275,11438268.82,"IL
(38.2792, -89.667)"
56068,Elm Road Generating Station,Wisconsin Electric Power Company,Milwaukee,617.156,258,2217.76,140,7976861.468,61,76081153.768,8338123.01,"WI
(42.8445, -87.829)"
56224,TS Power Plant,Newmont Nevada Energy Investment LLC,Eureka,115.869,307,232.564,323,993318.449,241,9491962.987,994072.6,"NV
(40.7458, -116.5297)"
56319,Wygen II,"Black Hills Power, Inc",Campbell,239.906,292,236.682,322,902316.708,247,8603309.311,808470.59,"WY
(44.2911, -105.3815)"
56456,Plum Point Energy Station,"Plum Point Energy Associates, Inc.",Mississippi,3038.017,132,1674.307,171,4788942.434,116,46679517.475,5013006.3,"AR
(35.6626, -89.9469)"
56564,John W. Turk Jr. Power Plant,Southwestern Electric Power Company,Hempstead,949.185,227,688.151,265,3737365.472,134,35634704.877,3984200.95,"AR
(33.6497, -93.8119)"
56596,Wygen III,"Black Hills Power, Inc",Campbell,231.692,294,175.905,334,967612.082,242,9225958.723,903793.52,"WY
(44.2892, -105.3795)"
56609,Dry Fork Station,Basin Electric Power Cooperative,Campbell,911.843,234,632.105,271,3096027.907,155,29519699.179,3113897.13,"WY
(44.3901, -105.4591)"
56611,Sandy Creek Energy Station,"Sandy Creek Services, LLC",McLennan,1841.656,182,936.442,233,4457291.54,123,42562003.696,4138097.72,"TX
(31.4753, -96.9564)"
56671,Longview Power,"Longview Power, LLC",Monongalia,2097.954,172,1562.547,178,5137716.763,108,50075229.008,5867981.32,"WV
(39.7078, -79.9588)"
56786,Spiritwood Station,Great River Energy,Stutsman,17.24,323,288.612,316,576798.391,271,6177452.003,,"ND
(46.925, -98.5)"
56808,Virginia City Hybrid Energy Center,Dominion Generation,Wise,107.665,310,1053.914,222,3652601.428,139,35572584.587,,"VA
(36.9161, -82.3381)"
880028,Procter & Gamble Company - Ivorydale,DTE Energy Services,Hamilton,,,36.57,358,,,729245.254,,"OH
(39.1756, -84.5022)"
880039,Cargill Incorporated,"Cargill, Inc.",Montgomery,,,31.067,359,,,189303.8,,"OH
(39.8242, -84.1747)"
880041,Ascend (Decatur Plant),Ascend Performance Materials Operations. LLC,Morgan,,,563.815,282,,,3425530,,"AL
(34.6339, -87.0244)"
880044,"Lafarge Building Materials, Inc.","Lafarge Building Materials, Inc.",Albany,,,502.144,288,,,,,"NY
(42.4833, -73.8167)"
880052,Lehigh Northeast Cement Company,Lehigh Northeast Cement Company,Warren,,,1070.412,220,,,,,"NY
(43.3064, -73.6208)"
880053,Union Carbide Corp. Institute Facility,Bayer,Kanawha,,,138.363,343,,,931177.34,,"WV
(38.3844, -81.7764)"
880079,Tate & Lyle-Loudon,"A E Staley Manufacturing Company, Tate & Lyle Ingredients Americas LLC",Loudon,,,452.981,295,,,3348520.997,,"TN
(35.7433, -84.3208)"
880086,"Pacific Ethanol Pekin, Inc.","Pacific Ethanol Pekin, Inc.",Tazewell,,,415.068,301,,,,,"IL
(40.555, -89.6628)"
